Altium Designer Pick and Place Locations
C:\Users\kubic\Documents\GitHub\tracker_electrical\OPU\010\OPU010\Project Outputs for OPU010\Pick Place for opu010_pcb(main_variant).txt

========================================================================================================================
File Design Information:

Date:       07.04.25
Time:       01:15
Revision:   5e646132b8e4af633f192bbd9e3573dcf23ab59d
Variant:    main_variant
Units used: mil

Designator Comment       Layer       Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                                                                                             
J8         "Header 3p"   BottomLayer Pin_header_3p           551.181       257.480       90       "Direct Insert 2.54mm Policy 3A 2.5mm -40?~+105? 3mm 6mm 250V Black 1x3P Single Row 3P Pin Headers"                     
CE2        100u          BottomLayer CAPAE830X1100N          1488.189      2200.787      180      "100uF 50V ±20% SMD,D8xL10.2mm Aluminum Electrolytic Capacitors - SMD ROHS"                                             
CE1        100u          BottomLayer CAPAE830X1100N          661.417       759.842       90       "100uF 50V ±20% SMD,D8xL10.2mm Aluminum Electrolytic Capacitors - SMD ROHS"                                             
R25        1k            TopLayer    RESC2012X06N(SMR0805)   1387.795      708.661       0        "125mW Thick Film Resistors 150V ±100ppm/? ±1% 1k? 0805 Chip Resistor - Surface Mount ROHS"                             
R24        1k            TopLayer    RESC2012X06N(SMR0805)   1387.795      629.921       0        "125mW Thick Film Resistors 150V ±100ppm/? ±1% 1k? 0805 Chip Resistor - Surface Mount ROHS"                             
CK24       10u           TopLayer    CAP0805                 580.000       1300.000      270      "25V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                              
CK23       10u           TopLayer    CAP0805                 580.000       1455.000      90       "25V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                              
X1         "16 MHz"      TopLayer    3225_XTal               2281.024      1075.000      90       "X322516MLB4SI
16MHz Surface Mount Crystal 9pF ±10ppm ±20ppm SMD3225-4P Crystals ROHS"                                 
U9         USBLC6-4SC6   TopLayer    SOT23-6                 595.000       715.000       90       "5A 17V 6V Unidirectional 5.25V SOT-23-6 ESD and Surge Protection (TVS/ESD) ROHS"                                       
U7         USBLC6-4SC6   TopLayer    SOT23-6                 695.000       1742.992      90       "5A 17V 6V Unidirectional 5.25V SOT-23-6 ESD and Surge Protection (TVS/ESD) ROHS"                                       
SB3        "0603 0R"     TopLayer    Solder_T_bridge_0603    2515.000      1885.000      180      ""                                                                                                                      
R21        0R            TopLayer    RESC2012X06N(SMR0805)   2131.024      1115.000      180      "125mW Thick Film Resistors 150V ±800ppm/? ±1% 0? 0805 Chip Resistor - Surface Mount ROHS"                              
R20        0R            TopLayer    RESC2012X06N(SMR0805)   2131.024      1035.000      180      "125mW Thick Film Resistors 150V ±800ppm/? ±1% 0? 0805 Chip Resistor - Surface Mount ROHS"                              
R19        0R            TopLayer    RESC2012X06N(SMR0805)   1377.953      236.220       90       "125mW Thick Film Resistors 150V ±800ppm/? ±1% 0? 0805 Chip Resistor - Surface Mount ROHS"                              
