Altium Designer Pick and Place Locations
C:\Users\kubic\Documents\GitHub\tracker_electrical\TrackerController\010\TrackerController010\Project Outputs for TrackerController010\Pick Place for TrackerController010.csv

========================================================================================================================
File Design Information:

Date:       07.04.25
Time:       14:08
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"J14","Header 3p F","BottomLayer","Pin_header_3p_-_F","551.181","2104.724","270","Direct Insert 2.54mm Policy 3A 2.5mm -40?~+105? 3mm 6mm 250V Black 1x3P Single Row 3P Pin Headers"
"CK36","100n","TopLayer","CAP0603","1031.496","1862.205","270","50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"U4","FT230XQ-T","TopLayer","QFN65P400X400X80-17N","1177.165","1917.323","180","Integrated Circuit"
"CK35","100n","TopLayer","CAP0603","1243.875","1768.110","180","50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"3D_model","SS0505A","BottomLayer","limit_sw_model","-1930.000","-3080.000","180","Mikrospínaè SNAP ACTION; 3A/250VAC; s páèkou (s kladkou); SPDT"
"U11","USBLC6-4SC6","TopLayer","SOT23-6","1456.693","2185.039","270","5A 17V 6V Unidirectional 5.25V SOT-23-6 ESD and Surge Protection (TVS/ESD) ROHS"
"CK34","100n","TopLayer","CAP0603","1527.559","2015.748","270","50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"R32","100R","TopLayer","RESC2012X06N(SMR0805)","906.299","727.008","0","125mW Thick Film Resistors 150V ±100ppm/? ±1% 100? 0805 Chip Resistor - Surface Mount ROHS"
"R31","100R","TopLayer","RESC2012X06N(SMR0805)","906.299","647.008","0","125mW Thick Film Resistors 150V ±100ppm/? ±1% 100? 0805 Chip Resistor - Surface Mount ROHS"
"R30","100R","TopLayer","RESC2012X06N(SMR0805)","906.299","567.008","0","125mW Thick Film Resistors 150V ±100ppm/? ±1% 100? 0805 Chip Resistor - Surface Mount ROHS"
"R29","100R","TopLayer","RESC2012X06N(SMR0805)","906.299","487.008","0","125mW Thick Film Resistors 150V ±100ppm/? ±1% 100? 0805 Chip Resistor - Surface Mount ROHS"
"U8","USBLC6-4SC6","TopLayer","SOT23-6","725.551","607.008","270","5A 17V 6V Unidirectional 5.25V SOT-23-6 ESD and Surge Protection (TVS/ESD) ROHS"
"CK27","100n","TopLayer","CAP0603","702.008","737.008","180","50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"U10","USBLC6-4SC6","TopLayer","SOT23-6","2395.000","-695.000","270","5A 17V 6V Unidirectional 5.25V SOT-23-6 ESD and Surge Protection (TVS/ESD) ROHS"
"R42","1k","TopLayer","RESC2012X06N(SMR0805)","2200.000","-630.000","0","125mW Thick Film Resistors 150V ±100ppm/? ±1% 1k? 0805 Chip Resistor - Surface Mount ROHS"
"R41","10k","TopLayer","RESC2012X06N(SMR0805)","2200.000","-790.000","0","125mW Thick Film Resistors 150V ±100ppm/? ±1% 10k? 0805 Chip Resistor - Surface Mount ROHS"
"R40","1k","TopLayer","RESC2012X06N(SMR0805)","2200.000","-550.000","0","125mW Thick Film Resistors 150V ±100ppm/? ±1% 1k? 0805 Chip Resistor - Surface Mount ROHS"
"R39","10k","TopLayer","RESC2012X06N(SMR0805)","2200.000","-470.000","0","125mW Thick Film Resistors 150V ±100ppm/? ±1% 10k? 0805 Chip Resistor - Surface Mount ROHS"
"R38","1k","TopLayer","RESC2012X06N(SMR0805)","2375.000","-550.000","0","125mW Thick Film Resistors 150V ±100ppm/? ±1% 1k? 0805 Chip Resistor - Surface Mount ROHS"
"R37","10k","TopLayer","RESC2012X06N(SMR0805)","2375.000","-470.000","0","125mW Thick Film Resistors 150V ±100ppm/? ±1% 10k? 0805 Chip Resistor - Surface Mount ROHS"
